good_nav_pix,tot_nav_pix,fidelity,Rover.pitch,Rover.roll
5856,5934,98.7,0.4072,0.1577
5890,5981,98.5,0.4069,0.1563
5849,5935,98.6,0.4265,0.1579
6082,6173,98.5,0.4301,0.1586
6118,6213,98.5,0.4231,0.1571
5968,6066,98.4,0.4255,0.1546
5974,6068,98.5,0.4282,0.1543
5985,6088,98.3,0.4277,0.1544
6019,6115,98.4,0.4291,0.1546
6073,6174,98.4,0.4396,0.1556
6120,6242,98.0,0.4388,0.1562
6091,6201,98.2,0.4431,0.1593
6119,6235,98.1,0.4445,0.1611
6051,6177,98.0,0.4491,0.1644
6119,6247,98.0,0.4481,0.1663
6142,6256,98.2,0.449,0.1667
6128,6240,98.2,0.454,0.1697
6139,6250,98.2,0.4555,0.1714
6100,6219,98.1,0.4682,0.1733
6172,6299,98.0,0.4702,0.1728
6149,6282,97.9,0.4764,0.1748
6095,6238,97.7,0.484,0.1745
6095,6238,97.7,0.484,0.1745
6281,6424,97.8,0.4729,0.176
6168,6313,97.7,0.4824,0.1805
6183,6320,97.8,0.4694,0.1849
6003,6134,97.9,0.4679,0.1875
5964,6098,97.8,0.4651,0.2025
5964,6098,97.8,0.4651,0.2025
5853,5977,97.9,0.4682,0.2062
5861,5982,98.0,0.4794,0.2115
5883,6003,98.0,0.4672,0.2149
5881,5997,98.1,0.467,0.2165
5881,5997,98.1,0.467,0.2165
5876,5993,98.0,0.4653,0.2186
